scripts/rfsuite/tasks/adjfunctions/sounds/cyclic.wav,Cyclic
scripts/rfsuite/tasks/adjfunctions/sounds/ff.wav,Feed Forward
scripts/rfsuite/tasks/adjfunctions/sounds/collective.wav,Collective
scripts/rfsuite/tasks/adjfunctions/sounds/dyn.wav,Dynamic
scripts/rfsuite/tasks/adjfunctions/sounds/decay.wav,Decay
scripts/rfsuite/tasks/adjfunctions/sounds/gyro.wav,Gyro
scripts/rfsuite/tasks/adjfunctions/sounds/cutoff.wav,Cut Off
scripts/rfsuite/tasks/adjfunctions/sounds/dterm.wav,d term
scripts/rfsuite/tasks/adjfunctions/sounds/rescue.wav,Rescue
scripts/rfsuite/tasks/adjfunctions/sounds/climb.wav,Climb
scripts/rfsuite/tasks/adjfunctions/sounds/collective.wav,Collective
scripts/rfsuite/tasks/adjfunctions/sounds/hover.wav,Hover
scripts/rfsuite/tasks/adjfunctions/sounds/alt.wav,Altitude
scripts/rfsuite/tasks/adjfunctions/sounds/angle.wav,Angle
scripts/rfsuite/tasks/adjfunctions/sounds/level.wav,Level
scripts/rfsuite/tasks/adjfunctions/sounds/horizon.wav,horizon
scripts/rfsuite/tasks/adjfunctions/sounds/acro.wav,Acro
scripts/rfsuite/tasks/adjfunctions/sounds/gov.wav,Governor
scripts/rfsuite/tasks/adjfunctions/sounds/crossc.wav,Cross Coupling
scripts/rfsuite/tasks/adjfunctions/sounds/acc.wav,Accelerometer
scripts/rfsuite/tasks/adjfunctions/sounds/trim.wav,Trim
